UserID Group IGT
86 Control 18.501444
1533 Variant 24.289442
140 Control 16.444734
2043 Variant 26.340659
2263 Variant 16.196816
242 Control 26.376809
1220 Control 23.149689
1372 Control 15.569391
1894 Variant 13.138494
2196 Variant 30.199858
169 Control 15.938957
539 Control 18.391826
1653 Variant 16.188707
309 Control 12.512058
64 Control 18.082884
785 Control 12.190021
835 Control 18.949347
1708 Variant 21.855896
1309 Control 18.232675
527 Control 17.560903
1973 Variant 26.450521
481 Control 24.520593
552 Control 20.321888
563 Control 12.933267
2516 Variant 24.094551
2573 Variant 22.599162
291 Control 19.847456
1597 Variant 9.695865
2465 Variant 13.571862
2168 Variant 17.912341
948 Control 11.281159
1978 Variant 15.377151
2325 Variant 19.203813
643 Control 15.583863
183 Control 26.096594
494 Control 12.864126
1324 Control 18.945281
1257 Control 18.909869
1332 Control 26.353068
571 Control 23.720066
1696 Variant 13.805199
2260 Variant 13.364034
1278 Control 25.547552
2590 Variant 33.182096
1268 Control 17.43545
1483 Control 11.013763
2194 Variant 15.829231
1906 Variant 18.37295
1150 Control 21.31706
2214 Variant 19.120905
677 Control 14.837325
69 Control 14.10009
1448 Control 18.490261
1145 Control 25.136239
1475 Control 20.179354
2010 Variant 10.041033
515 Control 18.752577
780 Control 20.267123
2438 Variant 22.879245
1211 Control 19.707999
1804 Variant 18.782954
705 Control 22.79078
2057 Variant 18.232885
901 Control 17.282644
101 Control 21.871852
1802 Variant 12.080606
420 Control 16.676422
1122 Control 19.289323
2352 Variant 20.879951
1422 Control 20.192712
1229 Control 23.273146
1360 Control 19.451533
1921 Variant 26.226242
762 Control 21.330709
2443 Variant 23.357606
412 Control 15.849753
681 Control 14.884647
2368 Variant 13.536367
951 Control 17.300168
1296 Control 25.920616
1515 Variant 20.967321
499 Control 21.333805
1315 Control 19.50833
56 Control 12.825183
870 Control 19.904967
1460 Control 27.921925
2252 Variant 29.665367
594 Control 16.442079
79 Control 11.109936
1260 Control 23.959637
153 Control 23.486471
24 Control 19.77307
1574 Variant 26.036916
1656 Variant 8.322222
2374 Variant 21.1068
1811 Variant 26.479667
873 Control 17.139044
2038 Variant 25.938436
2576 Variant 15.217686
2032 Variant 14.872795
236 Control 25.72658
1617 Variant 24.680435
605 Control 14.116805
2021 Variant 21.279476
2385 Variant 23.931929
2525 Variant 16.180506
293 Control 15.244048
779 Control 24.630714
939 Control 20.165144
1388 Control 23.252497
2304 Variant 15.348731
778 Control 21.159286
899 Control 32.973227
1041 Control 13.357787
1872 Variant 18.523739
150 Control 20.072445
1225 Control 19.134797
1168 Control 23.246566
608 Control 18.572982
2243 Variant 29.963176
979 Control 25.313051
2480 Variant 25.349088
1955 Variant 21.71373
2066 Variant 26.431406
1986 Variant 19.497976
958 Control 23.78789
561 Control 16.670198
1844 Variant 24.612647
1739 Variant 20.957175
696 Control 21.342742
1371 Control 21.052123
1517 Variant 7.997284
1046 Control 19.61351
2106 Variant 28.356389
1473 Control 21.613265
1954 Variant 23.179003
1984 Variant 22.380283
1444 Control 13.496411
770 Control 20.953588
1183 Control 24.4654
2454 Variant 20.24773
1829 Variant 17.144158
686 Control 19.754373
2592 Variant 14.611545
1927 Variant 16.834982
507 Control 21.484724
1863 Variant 25.399263
1785 Variant 31.60398
1292 Control 12.211487
2134 Variant 11.538751
1614 Variant 15.00929
1747 Variant 20.634599
219 Control 22.961926
2226 Variant 30.467585
645 Control 22.862865
971 Control 16.131261
2003 Variant 23.626938
1135 Control 22.406779
1900 Variant 15.684372
1239 Control 25.000461
1027 Control 20.809057
1075 Control 20.153048
254 Control 20.301729
860 Control 30.466936
2228 Variant 21.390546
1131 Control 31.169541
65 Control 15.550716
154 Control 25.459694
479 Control 15.043689
106 Control 27.133606
1107 Control 19.311526
1218 Control 15.172547
2172 Variant 18.870785
1796 Variant 15.830445
387 Control 19.12369
626 Control 16.241403
1406 Control 29.33087
103 Control 12.784392
1 Control 17.670313
2350 Variant 14.145851
2476 Variant 9.334651
1410 Control 32.905121
102 Control 21.957728
2552 Variant 28.905574
1550 Variant 18.561571
987 Control 27.928864
1118 Control 19.280578
2534 Variant 16.526317
1214 Control 25.396687
304 Control 24.663748
522 Control 16.263053
456 Control 29.509641
560 Control 25.35116
408 Control 23.416144
535 Control 14.082309
2144 Variant 16.52527
863 Control 22.250755
577 Control 26.398227
10 Control 16.872855
1827 Variant 12.896478
906 Control 22.720289
2061 Variant 14.804204
1818 Variant 15.229159
1007 Control 15.916609
673 Control 20.365718
1681 Variant 22.807026
222 Control 18.902527
2320 Variant 16.510441
992 Control 26.247889
546 Control 19.113586
92 Control 19.938789
2433 Variant 16.731647
2015 Variant 14.255438
593 Control 23.822703
1638 Variant 21.159746
1248 Control 17.782524
1794 Variant 24.758246
1960 Variant 19.183147
2503 Variant 19.527368
8 Control 25.08829
578 Control 20.725807
813 Control 21.694525
2118 Variant 25.474977
478 Control 22.105235
2272 Variant 19.039888
1543 Variant 24.387327
66 Control 14.03204
1488 Control 18.457731
662 Control 28.099018
189 Control 25.689895
1287 Control 18.259954
1919 Variant 16.505475
903 Control 19.315525
1824 Variant 15.987206
1645 Variant 15.542745
1753 Variant 12.528342
220 Control 20.891451
414 Control 19.34295
1270 Control 11.205497
1070 Control 27.640923
606 Control 25.633935
261 Control 24.069607
712 Control 26.123286
275 Control 24.680059
1725 Variant 21.555452
121 Control 15.770387
738 Control 23.893171
234 Control 21.982823
1020 Control 14.586315
2555 Variant 22.622204
2531 Variant 12.896355
1057 Control 17.617822
1403 Control 25.656959
335 Control 12.804567
1849 Variant 15.855825
2005 Variant 26.48018
2344 Variant 20.479437
1958 Variant 16.769554
2128 Variant 22.096305
2059 Variant 1.742535
356 Control 8.503756
1151 Control 19.476106
1593 Variant 25.414107
2271 Variant 14.591969
1905 Variant 10.279327
895 Control 17.347389
892 Control 16.188856
2595 Variant 31.918105
1172 Control 17.031741
862 Control 18.163013
831 Control 20.533046
131 Control 18.188589
2310 Variant 15.960893
2296 Variant 18.075057
459 Control 21.560269
468 Control 20.478555
2063 Variant 25.470749
1968 Variant 21.689643
2370 Variant 16.372634
122 Control 23.185564
2494 Variant 22.838554
921 Control 29.418371
555 Control 23.077245
239 Control 21.421545
485 Control 16.784951
2179 Variant 19.839875
1289 Control 11.082926
1182 Control 30.962893
1587 Variant 20.113011
1009 Control 14.841803
1979 Variant 13.425306
632 Control 25.98696
647 Control 19.923554
1546 Variant 17.256914
2174 Variant 18.832581
551 Control 15.534992
1312 Control 21.564728
580 Control 19.405221
1999 Variant 19.237126
281 Control 9.388253
2436 Variant 27.798687
650 Control 19.892378
349 Control 16.316629
2496 Variant 19.63199
1637 Variant 15.599812
1032 Control 21.201116
836 Control 24.988815
730 Control 13.418697
460 Control 20.023665
659 Control 8.751844
2538 Variant 27.086232
621 Control 23.638896
1358 Control 18.359327
2522 Variant 28.654202
63 Control 28.497686
1695 Variant 26.31018
7 Control 11.226378
1613 Variant 26.176508
2309 Variant 14.846245
1275 Control 20.274191
596 Control 22.832224
181 Control 21.926933
2234 Variant 23.050226
2390 Variant 29.574782
1024 Control 20.678537
484 Control 17.844544
1224 Control 21.984436
1493 Control 24.205637
76 Control 21.659871
1206 Control 20.419053
1470 Control 25.170536
1912 Variant 17.809892
584 Control 26.322215
625 Control 23.355005
2192 Variant 31.912486
2505 Variant 25.272203
599 Control 18.599465
1862 Variant 23.346211
1855 Variant 11.727269
155 Control 28.571901
476 Control 25.911676
1451 Control 20.42788
2051 Variant 20.011661
2045 Variant 21.256916
2280 Variant 20.463725
1610 Variant 16.134552
1054 Control 24.60457
2145 Variant 23.953723
2566 Variant 28.216883
1658 Variant 15.191185
1595 Variant 11.171684
1932 Variant 15.607279
503 Control 18.431827
2041 Variant 16.817832
351 Control 29.910927
2515 Variant 26.049377
1405 Control 28.077018
1235 Control 29.302957
2405 Variant 20.744689
1047 Control 13.718807
1413 Control 15.709135
2028 Variant 20.269159
1202 Control 16.153683
1427 Control 15.611024
1743 Variant 20.681506
402 Control 12.841479
445 Control 18.168737
1354 Control 24.16254
1191 Control 21.166215
510 Control 15.618388
905 Control 23.767315
859 Control 24.640656
2046 Variant 14.187579
618 Control 23.158593
1213 Control 26.268746
149 Control 12.319489
983 Control 18.045686
2124 Variant 15.484885
1889 Variant 25.138754
1994 Variant 19.342545
338 Control 19.503954
1864 Variant 28.531768
975 Control 21.473506
1318 Control 13.031117
2557 Variant 10.957723
2376 Variant 23.355516
1609 Variant 22.853708
1621 Variant 19.185728
2546 Variant 21.830515
648 Control 23.113147
112 Control 25.279741
1745 Variant 19.126462
54 Control 19.338114
1437 Control 21.636893
443 Control 15.849364
1903 Variant 23.260085
2579 Variant 22.837257
1367 Control 23.692385
2535 Variant 26.134959
158 Control 26.031411
1343 Control 22.898287
786 Control 20.039575
1556 Variant 22.032836
2127 Variant 20.303698
2527 Variant 12.959875
2426 Variant 20.694577
2009 Variant 12.047092
2195 Variant 20.670989
2281 Variant 33.602571
